id,x,y,r,g,b
3205,5,5,7,61,38
3210,10,5,11,63,41
3215,15,5,14,65,46
3220,20,5,16,67,50
3225,25,5,17,68,53
3230,30,5,16,66,55
3235,35,5,16,66,57
3240,40,5,16,65,59
3245,45,5,16,65,62
3250,50,5,16,64,64
3255,55,5,16,64,66
3260,60,5,18,63,68
3265,65,5,18,61,68
3270,70,5,17,57,65
3275,75,5,16,54,65
3280,80,5,15,51,65
3285,85,5,16,49,66
3290,90,5,15,48,65
3295,95,5,15,46,66
3300,100,5,17,43,66
3305,105,5,17,41,67
3310,110,5,17,38,67
3315,115,5,17,36,68
3320,120,5,14,33,65
3325,125,5,15,31,65
3330,130,5,15,29,66
3335,135,5,15,27,67
3340,140,5,17,26,67
3345,145,5,17,24,68
3350,150,5,18,22,69
3355,155,5,17,19,68
3360,160,5,16,16,66
3365,165,5,18,16,66
3370,170,5,19,15,66
3375,175,5,22,15,66
3380,180,5,24,16,67
3385,185,5,26,16,66
3390,190,5,31,17,68
3395,195,5,34,18,67
3400,200,5,34,16,66
3405,205,5,35,15,66
3410,210,5,38,16,65
3415,215,5,39,15,65
3420,220,5,43,15,64
3425,225,5,45,15,65
3430,230,5,49,17,67
3435,235,5,51,17,67
3440,240,5,53,16,67
3445,245,5,54,16,67
3450,250,5,55,15,65
3455,255,5,59,15,66
3460,260,5,62,15,67
3465,265,5,64,16,66
3470,270,5,66,16,65
3475,275,5,66,17,64
3480,280,5,68,17,60
3485,285,5,67,16,57
3490,290,5,66,16,54
3495,295,5,65,15,52
3500,300,5,66,15,48
3505,305,5,66,15,46
3510,310,5,66,16,45
3515,315,5,67,17,44
3520,320,5,67,17,42
3525,325,5,66,17,39
3530,330,5,67,15,37
3535,335,5,66,15,34
3540,340,5,66,15,32
3545,345,5,66,16,28
3550,350,5,66,16,27
3555,355,5,67,16,25
3560,360,5,68,17,24
3565,365,5,67,17,20
3570,370,5,67,17,18
3575,375,5,67,17,16
3580,380,5,67,19,15
3585,385,5,66,21,16
3590,390,5,66,23,16
3595,395,5,66,26,16
3600,400,5,67,29,16
3605,405,5,68,32,18
3610,410,5,67,34,17
3615,415,5,66,35,15
3620,420,5,65,37,15
3625,425,5,65,39,16
3630,430,5,67,41,16
3635,435,5,68,44,16
3640,440,5,68,47,16
3645,445,5,68,49,17
3650,450,5,68,52,18
3655,455,5,67,53,16
3660,460,5,65,56,15
3665,465,5,65,58,14
3670,470,5,65,61,16
3675,475,5,65,63,15
3680,480,5,64,63,15
3685,485,5,62,64,15
3690,490,5,59,66,15
3695,495,5,57,65,14
3700,500,5,53,66,13
3705,505,5,52,66,15
3710,510,5,49,66,14
3715,515,5,48,66,16
3720,520,5,46,66,15
3725,525,5,44,66,17
3730,530,5,43,67,17
3735,535,5,40,66,18
3740,540,5,37,67,17
3745,545,5,34,66,16
3750,550,5,32,66,15
3755,555,5,29,66,15
3760,560,5,28,66,15
3765,565,5,26,66,16
3770,570,5,25,67,17
3775,575,5,23,67,18
3780,580,5,19,67,17
3785,585,5,17,67,18
3790,590,5,17,66,19
3795,595,5,17,66,19
3800,600,5,15,66,23
3805,605,5,15,66,25
3810,610,5,16,66,28
3815,615,5,17,67,30
3820,620,5,16,68,32
3825,625,5,15,66,33
3830,630,5,9,63,31
3835,635,5,7,61,29
6405,5,10,12,66,43
6410,10,10,15,69,46
6415,15,10,19,70,51
6420,20,10,21,72,55
6425,25,10,21,72,57
6430,30,10,20,72,60
6435,35,10,20,71,62
6440,40,10,20,71,64
6445,45,10,20,70,67
6450,50,10,20,70,69
6455,55,10,21,69,71
6460,60,10,23,68,73
6465,65,10,22,65,72
6470,70,10,22,62,72
6475,75,10,20,60,70
6480,80,10,19,57,70
6485,85,10,19,55,71
6490,90,10,19,52,71
6495,95,10,19,50,71
6500,100,10,21,49,71
6505,105,10,21,47,72
6510,110,10,20,44,72
6515,115,10,20,41,72
6520,120,10,19,38,71
6525,125,10,20,36,72
6530,130,10,20,34,73
6535,135,10,18,32,71
6540,140,10,21,30,73
6545,145,10,21,28,74
6550,150,10,22,26,73
6555,155,10,21,23,72
6560,160,10,21,21,73
6565,165,10,22,20,70
